,X,Y,id,spp_com,spp_bot,numberof_st,dbh_range,dbh,date_plant,city,neighborhood,address,street,suffix,site,x_longitude,y_latitude,ObjectId
43695,-7918802.146000001,5213546.313,23733,"Oak, Pin",Quercus palustris,1,>30in,31.0,--,Boston,Allston-Brighton,36,Long Avenue,,1,-71.13580999999999,42.349959999999996,24733
32874,-7921617.416,5213802.834,32705,"Linden, Littleleaf",Tilia cordata,1,12-18in,13.0,--,Boston,Allston-Brighton,79,Beechcroft Street,,1,-71.1611,42.351659999999995,33189
14673,-7912753.045,5211587.319,27433,"Oak, Fastigiate Pin",Quercus palustris 'Fastigiata',1,3-6in,3.0,--,Boston,Roxbury,83,Lenox Street,,1,-71.08147,42.33695,27001
1377,-7913113.72,5207692.223,38647,Empty Pit/Planting Site,Empty Pit/Planting Site,0,,0.0,--,Boston,Roxbury,23,Crawford Street,,1,-71.08471,42.31108,39029
7236,-7913199.436000001,5204621.842,40535,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,0-3in,2.0,Spring 2022,Boston,Dorchester,170,Westview Street,,2,-71.08548,42.29068,40273
43073,-7919710.959,5198899.1389999995,20407,"Oak, Pin",Quercus palustris,1,24-30in,26.0,--,Boston,Hyde Park,42,Joan Road,,1,-71.14397,42.25264,22329
22862,-7908270.316000001,5216404.86,42878,"Pear, Callery",Pyrus calleryana,1,6-12in,6.0,--,--,East Boston,2,Msgr Albert A Jacobbe Road,,4,-71.0412,42.36893,40969
7831,-7912892.195,5202457.369,41022,"Lilac, Japanese Tree",Syringa reticulata,1,0-3in,2.0,Spring 2023,Boston,Mattapan,95,Woodbole Avenue,,1,-71.08272,42.27629,42220
5733,-7917107.782000001,5203353.823,42580,"Elm, Chinese",Ulmus parvifolia,1,0-3in,2.0,Fall 2021,Boston,Roslindale,73,Rowe Street,,1,-71.12059,42.28225,40666
5102,-7922120.859,5200932.999,39756,Crabapple spp.,Malus spp.,1,0-3in,2.0,Fall 2022,Boston,West Roxbury,10,Salman Street,,1,-71.16561999999999,42.26616,39018
32030,-7921769.924,5213414.215,24212,"Planetree, London",Platanus x acerifolia,1,12-18in,12.0,--,Boston,Allston-Brighton,523,Washington Street,,1,-71.16247,42.34908,23549
38957,-7922515.765,5203710.853,10963,"Maple, Norway",Acer platanoides,1,18-24in,18.0,--,Boston,West Roxbury,153,Sanborn Avenue,,3,-71.16917,42.28463,12118
19809,-7912595.528,5211126.961,30232,Honeylocust,Gleditsia triacanthos,1,3-6in,5.0,--,Boston,Roxbury,1964,Washington Street,,4,-71.08006,42.333890000000004,31018
41810,-7914473.377,5204702.201,255,"Oak, Northern Red",Quercus rubra,1,18-24in,22.0,--,Boston,Mattapan,378,American Legion Highway,-368,2,-71.09692,42.29121,749
36758,-7910596.341,5204446.68,35045,Honeylocust,Gleditsia triacanthos,1,12-18in,16.0,--,Boston,Dorchester,6,Denvir Street,,1,-71.0621,42.28952,34489
18673,-7915796.52,5206816.762,15974,"Sweetgum, Common",Liquidambar styraciflua,1,3-6in,4.0,--,Boston,Jamaica Plain,3531,Washington Street,,6,-71.10880999999999,42.30526,16462
29211,-7910363.363,5217507.002,30272,"Ash, Green",Fraxinus pennsylvanica,1,6-12in,11.0,--,--,Charlestown,9,Monument Square,,1,-71.06000999999999,42.37625,31092
21345,-7909515.874,5212828.305,25075,"Elm, Accolade",Ulmus carpinifolia 'accolade',1,6-12in,6.0,--,Boston,South Boston,1,Channel Center Street,,2,-71.05239,42.34519,22957
37064,-7907871.686000001,5211016.129,25871,"Maple, Norway",Acer platanoides,1,12-18in,16.0,--,Boston,South Boston,305,K Street,,2,-71.03761999999999,42.33316,25889
23111,-7911248.006,5208115.231000001,19887,"Ash, Green",Fraxinus pennsylvanica,1,6-12in,7.0,--,Boston,Dorchester,478,Columbia Road,,4,-71.06795,42.31389,17746
35669,-7912640.613,5201573.516,21679,"Linden, Littleleaf",Tilia cordata,1,12-18in,15.0,--,Boston,Mattapan,14,Duxbury Road,,1,-71.08046,42.27042,20729
9351,-7912335.597,5212171.345,41621,"Maple, Red 'Red Sunset'",Acer rubrum 'Red Sunset',1,0-3in,2.0,Fall 2021,Boston,South End,709,Tremont Street,,1,-71.07772,42.34083,41606
35449,-7912215.372,5207227.087,19547,Honeylocust,Gleditsia triacanthos,1,12-18in,15.0,--,Boston,Dorchester,134,Devon Street,,1,-71.07664,42.307990000000004,19967
19048,-7905427.11,5218157.054,30455,"Cherry, Yoshino Flowering",Prunus yedoensis,1,3-6in,5.0,--,--,East Boston,120,Coleridge Street,,1,-71.01566,42.380559999999996,31243
35756,-7904326.16,5219895.836,946,"Maple, Norway",Acer platanoides,1,12-18in,15.0,--,--,East Boston,144,Faywood Ave,,2,-71.00577,42.3921,1863
40085,-7914992.237000001,5213611.535,6427,"Sweetgum, Common",Liquidambar styraciflua,1,18-24in,19.0,--,--,Fenway/Longwood,178,Bay State Road,,1,-71.10159,42.350390000000004,6741
16825,-7919643.054,5214493.801,10933,Honeylocust,Gleditsia triacanthos,1,3-6in,4.0,--,Boston,Allston-Brighton,133,Guest Street,,7,-71.14336,42.35625,12031
33821,-7911276.949,5217739.625,5387,"Corktree, Amur",Phellodendron amurense,1,12-18in,14.0,--,--,Charlestown,106,Dunstable Street,,1,-71.06821,42.377790000000005,6451
41673,-7915953.481000001,5200561.135,1953,"Maple, Norway",Acer platanoides,1,18-24in,22.0,--,Boston,Hyde Park,14,Edwardson Street,-16,1,-71.11022,42.263690000000004,2450
38408,-7911721.67,5212275.563999999,474,"Planetree, London",Platanus x acerifolia,1,12-18in,17.0,--,Boston,South End,23,West Dedham Street,,2,-71.0722,42.34152,968
23206,-7919840.089,5212360.356000001,21987,Elm,Ulmus species,1,6-12in,7.0,--,Boston,Allston-Brighton,1665,Commonwealth Avenue,,1,-71.14513000000001,42.342079999999996,21048
32145,-7904671.25,5218988.049,3610,"Ash, Green",Fraxinus pennsylvanica,1,12-18in,13.0,--,--,East Boston,948,Bennington Street,,1,-71.00887,42.386070000000004,2578
16452,-7912440.237000001,5212094.839,29183,Ginkgo,Ginkgo biloba,1,3-6in,4.0,--,Boston,South End,731,Tremont Street,,2,-71.07866,42.34032,28185
5205,-7903564.871,5219648.651000001,5255,"Crabapple, Golden Raindrops",Malus 'Golden Raindrops',1,0-3in,2.0,Fall 2022,--,East Boston,15,Waldemar Avenue,,1,-70.99893,42.39046,6173
19788,-7913673.657000001,5212626.483,27926,Honeylocust,Gleditsia triacanthos,1,3-6in,5.0,--,Boston,Fenway/Longwood,124,Westland Avenue,,1,-71.08974,42.34385,29661
33466,-7908143.767000001,5216505.812,42502,"Pear, Callery",Pyrus calleryana,1,12-18in,13.0,--,--,East Boston,14,Henry Street,,1,-71.04006,42.3696,40683
1219,-7921161.006,5205185.574,39450,Empty Pit/Planting Site,Empty Pit/Planting Site,0,,0.0,--,Boston,West Roxbury,68,Garnet Road,,1,-71.157,42.29443,38800
2813,-7911882.972,5211452.086,30939,Scheduled Planting Site - Fall 2024,Scheduled Planting Site - Fall 2024,0,,0.0,--,Boston,South End,818,Harrison Avenue,,3,-71.07365,42.33605,32233
23094,-7909804.749,5208130.285,35519,Apple/Crabapple,Malus species,1,6-12in,7.0,--,Boston,Dorchester,28,Sagamore Street,,1,-71.05499,42.313990000000004,37457
5457,-7913727.092999999,5213372.933,44433,Elm,Ulmus species,1,0-3in,2.0,--,Boston,Back Bay/Beacon Hill,390,Commonwealth Avenue,,2,-71.09022,42.3488,43532
21679,-7909431.94,5216078.831,4072,Honeylocust,Gleditsia triacanthos,1,6-12in,6.0,--,--,Central Boston,399,Commercial Street,,1,-71.05164,42.36677,3849
23605,-7906935.489,5211689.273,37231,Honeylocust,Gleditsia triacanthos,1,6-12in,7.0,--,Boston,South Boston,18,O Street,,1,-71.02920999999999,42.33763,36181
12471,-7915806.539,5206862.069,15942,"Coffeetree, Kentucky",Gymnocladus dioicus,1,3-6in,3.0,--,Boston,Jamaica Plain,3531,Washington Street,,3,-71.1089,42.30556,16487
26827,-7921215.107999999,5214586.897,37067,"Maple, Hedge",Acer campestre,1,6-12in,9.0,--,Boston,Allston-Brighton,228,Parsons Street,,1,-71.15749,42.35686,37306
41409,-7918239.982999999,5201807.598,20974,Apple/Crabapple,Malus species,1,18-24in,22.0,--,Boston,Roslindale,43,Bateman Street,,1,-71.13076,42.27198,20440
43196,-7917851.477999999,5207103.656,34729,"Linden, Littleleaf",Tilia cordata,1,24-30in,27.0,--,Boston,Jamaica Plain,6,Slocum Road,,2,-71.12727,42.30717,33974
22215,-7908288.02,5216633.602,38059,"Maple, Freeman",Acer x freemanii,1,6-12in,6.0,--,--,East Boston,1,Cunard Way,,1,-71.04136,42.37045,39959
42455,-7907828.271000001,5210721.437,25533,"Linden, Littleleaf",Tilia cordata,1,24-30in,24.0,--,Boston,South Boston,368,K Street,,1,-71.03723000000001,42.3312,25452
1900,-7911042.065,5207077.315,40699,Empty Pit/Planting Site,Empty Pit/Planting Site,0,,0.0,--,Boston,Dorchester,270,Bowdoin Street,,3,-71.0661,42.306999999999995,40466
37523,-7909285.443,5203170.228999999,17921,"Ash, Green",Fraxinus pennsylvanica,1,12-18in,17.0,--,Boston,Dorchester,31,Whitridge Street,,2,-71.05032,42.28103,19469
12947,-7910712.558999999,5215270.69,8852,Goldenrain Tree,Koelreuteria paniculata,1,3-6in,3.0,--,--,Central Boston,101,Cambridge Street,,1,-71.06314,42.3614,8144
42045,-7922393.312999999,5203290.148,13506,"Linden, Littleleaf",Tilia cordata,1,18-24in,23.0,--,Boston,West Roxbury,34,Dow Road,,1,-71.16807,42.28183,14970
2494,-7908847.051,5214180.442,46641,Empty Pit/Planting Site,Empty Pit/Planting Site,0,,0.0,--,Boston,South Boston,12,Northern Ave,,21,-71.04638,42.35417,42638
12983,-7910344.091,5215891.404,29594,Goldenrain Tree,Koelreuteria paniculata,1,3-6in,3.0,--,--,Central Boston,110,Beverly Street,,2,-71.05983,42.365520000000004,28675
38560,-7919812.927,5212039.718,23519,"Ash, Green",Fraxinus pennsylvanica,1,18-24in,18.0,--,Brookline,Allston-Brighton,78,Kilsyth Road,,2,-71.14489,42.33995,24403
26596,-7918352.972,5213984.044,32669,Honeylocust,Gleditsia triacanthos,1,6-12in,9.0,--,Boston,Allston-Brighton,138,Brighton Avenue,,2,-71.13176999999999,42.35286,32353
27038,-7910228.319,5208522.752,32305,"Maple, Sycamore",Acer pseudoplatanus,1,6-12in,9.0,--,Boston,Dorchester,43,Mayfield Street,,1,-71.05879,42.3166,31463
22704,-7912445.802999999,5212039.116,34,"Pagoda Tree, Japanese",Sophora japonica,1,6-12in,6.0,--,Boston,South End,748,Tremont Street,,3,-71.07871,42.33995,532
22716,-7913097.022000001,5207218.055,22388,"Pagoda Tree, Japanese",Sophora japonica,1,6-12in,6.0,--,Boston,Roxbury,3,Schuyler Street,,1,-71.08456,42.30793,21842
7781,-7911923.63,5214063.913,39261,"Lilac, Japanese Tree",Syringa reticulata,1,0-3in,2.0,Spring 2021,Boston,Back Bay/Beacon Hill,27,Commonwealth Avenue,,1,-71.07401999999999,42.353390000000005,38650
20873,-7913501.78,5208682.3319999995,22687,"Pear, Callery",Pyrus calleryana,1,3-6in,5.0,--,Boston,Roxbury,17,Crestwood Park,,1,-71.0882,42.31766,23144
12141,-7910529.995,5203788.947,17240,Apple/Crabapple,Malus species,1,3-6in,3.0,--,Boston,Dorchester,22,Carruth Street,,1,-71.0615,42.285140000000006,16896
41682,-7911717.774,5214879.45,8219,"Maple, Norway",Acer platanoides,1,18-24in,22.0,--,--,Back Bay/Beacon Hill,112,Pinckney Street,,1,-71.07217,42.35881,9490
30273,-7913740.449,5204164.8319999995,18229,"Oak, Pin",Quercus palustris,1,6-12in,11.0,--,Boston,Dorchester,1078,Blue Hill Avenue,,1,-71.09034,42.28764,19045
41726,-7917036.619,5207996.305,15677,"Maple, Norway",Acer platanoides,1,18-24in,22.0,--,Boston,Jamaica Plain,119,Dunster Road,,1,-71.11995,42.3131,16249
33835,-7908677.223999999,5214053.955,46591,"Elm, Accolade",Ulmus carpinifolia 'accolade',1,12-18in,14.0,--,Boston,South Boston,1,Marina Park Drive,,8,-71.04485,42.35333,42598
23146,-7910614.153,5217529.561000001,4794,"Cherry, Japanese Flowering",Prunus serrulata,1,6-12in,7.0,--,--,Charlestown,6,Cedar Street,,1,-71.06226,42.3764,4789
34803,-7911392.585,5218607.237,1095,"Pear, Callery",Pyrus calleryana,1,12-18in,14.0,--,--,Charlestown,114,Baldwin Street,,1,-71.06925,42.38355,159
12635,-7913144.89,5210756.3719999995,27037,"Elm, Accolade",Ulmus carpinifolia 'accolade',1,3-6in,3.0,--,Boston,Roxbury,771,Shawmut Avenue,,2,-71.08499,42.33143,27320
15214,-7919406.6110000005,5198950.273,20655,"Pear, Callery",Pyrus calleryana,1,3-6in,3.0,--,Boston,Hyde Park,14,Dietz Road,,2,-71.14124,42.25298,20035
22001,-7911302.552,5205015.066000001,7109,"Lilac, Japanese Tree",Syringa reticulata,1,6-12in,6.0,--,Boston,Dorchester,74,Lyndhurst Street,,1,-71.06844,42.29329,7002
36785,-7911900.783,5212236.859,2377,"Linden, Littleleaf",Tilia cordata,1,12-18in,16.0,--,Boston,South End,19,San Juan Street,b,2,-71.07381,42.34126,1306
27510,-7914129.399,5201780.669,21878,"Ash, Green",Fraxinus pennsylvanica,1,6-12in,10.0,--,Boston,Mattapan,1525,Blue Hill Avenue,,1,-71.09383000000001,42.2718,20809
40869,-7917123.448,5199691.7469999995,20229,"Cherry, Japanese Flowering",Prunus serrulata,1,18-24in,21.0,--,Boston,Hyde Park,17,Webster Street,,1,-71.12073000000001,42.257909999999995,21587
12854,-7914448.441000001,5211618.041,24610,Ginkgo,Ginkgo biloba,1,3-6in,3.0,--,Boston,Fenway/Longwood,574,Huntington Avenue,,1,-71.0967,42.33715,22526
26050,-7917145.267000001,5199619.101,20225,Apple/Crabapple,Malus species,1,6-12in,9.0,--,Boston,Hyde Park,31,Central Avenue,,1,-71.12093,42.25743,21556
1631,-7916251.817000001,5209337.695,40311,Empty Pit/Planting Site,Empty Pit/Planting Site,0,,0.0,--,Boston,Jamaica Plain,9,Zamora Street,,1,-71.1129,42.32201,40078
14341,-7913135.984,5211220.627,9875,"Maple, Red",Acer rubrum,1,3-6in,3.0,--,Boston,Roxbury,8,Sojourner Truth Court,,2,-71.08491,42.334509999999995,7855
27210,-7909138.056,5204826.202,18635,"Pear, Callery",Pyrus calleryana,1,6-12in,9.0,--,Boston,Dorchester,24,Salina Road,,4,-71.04899999999999,42.29204,18038
24445,-7913382.0,5203685.875,35288,Apple/Crabapple,Malus species,1,6-12in,8.0,--,Boston,Dorchester,47,Middleton Street,,2,-71.08712,42.284459999999996,36667
41407,-7913892.957,5205133.955,35383,"Zelkova, Japanese",Zelkova serrata,1,18-24in,21.0,--,Boston,Dorchester,54,Lorne Street,,1,-71.09170999999999,42.29408,36994
7237,-7910330.732999999,5206271.7469999995,40575,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,0-3in,2.0,Spring 2022,Boston,Dorchester,1442,Dorchester Avenue,,2,-71.05971,42.30164,40320
2757,-7918259.575,5215034.016,25509,Scheduled Planting Site - Fall 2024,Scheduled Planting Site - Fall 2024,0,,0.0,--,Boston,Allston-Brighton,47,Easton Street,,1,-71.13094,42.35983,25406
12510,-7904438.592,5220026.97,29531,"Dogwood, Kousa",Cornus kousa,1,3-6in,3.0,--,--,East Boston,174,Waldemar Avenue,,1,-71.00678,42.39297,28426
12101,-7905613.458,5218245.967,5478,Apple/Crabapple,Malus species,1,3-6in,3.0,--,--,East Boston,111,Moore Street,,1,-71.01733,42.38115,6759
29280,-7917795.818,5199877.952,35917,"Cherry, Japanese Flowering",Prunus serrulata,1,6-12in,11.0,--,Boston,Hyde Park,38,Greenbrook Road,,1,-71.12677,42.25915,35863
3418,-7916908.602000001,5203996.75,16250,Ginkgo,Ginkgo biloba,1,0-3in,1.0,--,Boston,Jamaica Plain,1,Neponset Avenue,,1,-71.1188,42.28653,17043
17172,-7919081.557999999,5215471.966,37329,Honeylocust,Gleditsia triacanthos,1,3-6in,4.0,--,Boston,Allston-Brighton,390,Western Avenue,,2,-71.13832,42.36274,36657
15878,-7918057.419,5203505.915,11672,"Cherry, Japanese Flowering",Prunus serrulata,1,3-6in,4.0,--,Boston,Roslindale,55,Kittredge Street,,1,-71.12912,42.28326,11379
23158,-7921258.967999999,5214166.312,18778,"Cherry, Japanese Flowering",Prunus serrulata,1,6-12in,7.0,--,Boston,Allston-Brighton,188,Faneuil Street,,1,-71.15788,42.35407,18628
29988,-7911879.187000001,5212077.068,11187,"Maple, Norway",Acer platanoides,1,6-12in,11.0,--,Boston,South End,411,Shawmut Avenue,,2,-71.07361999999999,42.3402,10687
31161,-7914887.04,5210338.968,23281,Honeylocust,Gleditsia triacanthos,1,12-18in,12.0,--,Boston,Mission Hill,256,Parker Hill Avenue,,1,-71.10064,42.32866,24274
12423,-7917985.061000001,5201762.315,20952,"Cherry, Yoshino Flowering",Prunus yedoensis,1,3-6in,3.0,--,Boston,Roslindale,25,Alpheus Road,,2,-71.12847,42.271679999999996,20389
24075,-7908231.804,5211362.483,31664,"Oak, Pin",Quercus palustris,1,6-12in,7.0,--,Boston,South Boston,583,East Broadway,,1,-71.04086,42.33546,30297
34822,-7912500.35,5212995.489,6509,"Pear, Callery",Pyrus calleryana,1,12-18in,14.0,--,--,Back Bay/Beacon Hill,43,Saint Botolph Street,,2,-71.0792,42.3463,7017
37067,-7917657.782000001,5214075.478999999,26403,"Maple, Norway",Acer platanoides,1,12-18in,16.0,--,Boston,Allston-Brighton,93,Gardner Street,,1,-71.12553,42.35347,27052
43284,-7919334.699,5198954.785,20653,"Sycamore, American",Platanus occidentalis,1,24-30in,27.0,--,Boston,Hyde Park,34,Kardon Road,,1,-71.14059,42.253009999999996,20033
20072,-7909593.241,5213805.846,7987,"Linden, Littleleaf",Tilia cordata,1,3-6in,5.0,--,--,Central Boston,245,Summer Street,,7,-71.05309,42.35168,9855
10944,-7911318.609,5205009.829,42316,Serviceberry,Amelanchier species,1,0-3in,2.0,Fall 2021,Boston,Dorchester,70,Lyndhurst Street,,2,-71.06858000000001,42.29326,41760
31404,-7914979.435,5212007.489,37535,"Linden, Littleleaf",Tilia cordata,1,12-18in,12.0,--,Boston,Fenway/Longwood,45,Avenue Louis Pasteur,,5,-71.10146999999999,42.33974,37233
2799,-7909785.267999999,5208157.382,31280,Scheduled Planting Site - Fall 2024,Scheduled Planting Site - Fall 2024,0,,0.0,--,Boston,Dorchester,29,Sagamore Street,,1,-71.05481,42.314170000000004,31458
27100,-7909771.909,5214016.731000001,7734,"Oak, Pin",Quercus palustris,1,6-12in,9.0,--,--,Central Boston,583,Atlantic Avenue,,3,-71.05469000000001,42.35308,9202
39807,-7916679.284,5204894.223,16462,"Maple, Norway",Acer platanoides,1,18-24in,19.0,--,Boston,Jamaica Plain,208,Wachusett Street,,1,-71.11674000000001,42.29249,15002
18315,-7910355.222999999,5217742.337,488,"Oak, Swamp White",Quercus bicolor,1,3-6in,4.0,--,Boston,Charlestown,21,Monument Street,,1,-71.05993000000001,42.37781,982
6253,-7919272.817000001,5212387.54,44742,Ginkgo,Ginkgo biloba,1,0-3in,2.0,Fall 2023,Boston,Allston-Brighton,5,Washington Street,,2,-71.14004,42.342259999999996,43882
8961,-7907566.002,5211512.926,26299,"Maple, Red",Acer rubrum,1,0-3in,2.0,Spring 2023,Boston,South Boston,621,East 3rd Street,,1,-71.03487,42.336459999999995,26568
22883,-7909421.698,5214639.171,8514,"Planetree, London",Platanus x acerifolia,1,6-12in,6.0,--,--,Central Boston,1673,John F Fitzgerald Surface Road,,3,-71.05154,42.357209999999995,9975
3105,-7913461.993,5209013.693,45850,Scheduled Planting Site - Fall 2024,Scheduled Planting Site - Fall 2024,0,,0.0,--,Boston,Roxbury,156,Walnut Ave,,3,-71.08784,42.31986,43156
3016,-7918977.932,5214371.716,45497,Scheduled Planting Site - Fall 2024,Scheduled Planting Site - Fall 2024,0,,0.0,--,Boston,Allston-Brighton,72,Hano Street,,1,-71.13739,42.35544,42876
25299,-7910453.63,5208681.88,9347,"Maple, Hedge",Acer campestre,1,6-12in,8.0,--,Boston,Dorchester,15,Bakersfield Street,,1,-71.06081,42.31765,8281
32160,-7907849.422,5218161.575,4448,"Ash, Green",Fraxinus pennsylvanica,1,12-18in,13.0,--,--,East Boston,60,White Street,,1,-71.03742,42.380590000000005,4326
25090,-7910152.065,5209819.4969999995,36970,Honeylocust,Gleditsia triacanthos,1,6-12in,8.0,--,Boston,Dorchester,25,Howell Street,,1,-71.05811,42.32521,36971
30790,-7904239.331,5218708.028,4625,"Basswood, American",Tilia americana,1,12-18in,12.0,--,--,East Boston,57,Bayswater Street,,1,-71.00499,42.38422,4696
10780,-7918550.129,5205503.581,38428,"Pear, Callery 'Chanticleer'",Pyrus calleryana 'Chanticleer',1,0-3in,2.0,Fall 2021,Boston,West Roxbury,2,Shrewsbury Road,,2,-71.13354,42.29654,37711
31248,-7914092.219,5201612.63,36350,Honeylocust,Gleditsia triacanthos,1,12-18in,12.0,--,Boston,Mattapan,1556,Blue Hill Avenue,,1,-71.0935,42.27068,35204
28097,-7908969.852000001,5211557.2,26816,Honeylocust,Gleditsia triacanthos,1,6-12in,10.0,--,Boston,South Boston,416,West Broadway,,1,-71.04749,42.33675,26592
41349,-7913430.424,5211018.99,24750,"Planetree, London",Platanus x acerifolia,1,18-24in,21.0,--,Boston,Roxbury,185,Cabot Street,,7,-71.08755,42.33318,22653
6573,-7919144.454,5202688.313,11591,"Hawthorn, Cockspur",Crataegus crus-galli,1,0-3in,2.0,Spring 2023,Boston,Roslindale,15,Haydn Street,,1,-71.13889,42.27783,11676
24046,-7913791.656,5209191.653,16385,"Oak, Pin",Quercus palustris,1,6-12in,7.0,--,Boston,Roxbury,15,Kensington Street,,5,-71.0908,42.32104,17068
4168,-7921050.8,5205226.808999999,31152,Apple/Crabapple,Malus species,1,0-3in,2.0,--,Boston,West Roxbury,235,Manthorne Road,,1,-71.15601,42.2947,30691
2969,-7919909.035,5202565.15,45105,Scheduled Planting Site - Fall 2024,Scheduled Planting Site - Fall 2024,1,0-3in,0.0,--,Boston,West Roxbury,36,Robin Street,,1,-71.14575,42.27701,42804
39428,-7907725.857000001,5218160.821,4457,"Basswood, American",Tilia americana,1,18-24in,19.0,--,--,East Boston,80,White Street,,1,-71.03631,42.38058,4293
41385,-7911088.819,5207048.715,1815,"Zelkova, Japanese",Zelkova serrata,1,18-24in,21.0,--,Boston,Dorchester,260,Bowdoin Street,-264A,1,-71.06652,42.3068,2274
43299,-7906472.4,5218206.785,4618,"Basswood, American",Tilia americana,1,24-30in,28.0,--,--,East Boston,546,Saratoga Street,,1,-71.02505,42.38089,4657
36419,-7919821.833,5212057.64,23545,"Ash, Green",Fraxinus pennsylvanica,1,12-18in,16.0,--,Brookline,Allston-Brighton,78,Kilsyth Road,,1,-71.14497,42.340070000000004,24458
37895,-7917690.51,5201292.205,20900,"Linden, Littleleaf",Tilia cordata,1,12-18in,17.0,--,Boston,Hyde Park,20,Beechmont Terrace,,1,-71.12581999999999,42.26855,20370
42445,-7914938.247,5201823.243,21391,"Linden, Littleleaf",Tilia cordata,1,24-30in,24.0,--,Boston,Mattapan,19,Corman Road,,2,-71.1011,42.272079999999995,21968
20071,-7909618.734,5213822.416,7981,"Linden, Littleleaf",Tilia cordata,1,3-6in,5.0,--,--,Central Boston,245,Summer Street,,10,-71.05331,42.35179,9844
23200,-7914318.197000001,5203021.574,546,Elm,Ulmus species,1,6-12in,7.0,--,Boston,Mattapan,49,Hazleton Street,-51,1,-71.09553000000001,42.28004,1540
41867,-7911478.437000001,5218142.436000001,5404,"Sweetgum, Common",Liquidambar styraciflua,1,18-24in,22.0,--,--,Charlestown,401,Main Street,,4,-71.07002,42.38046,6549
9830,-7907419.727999999,5210761.04,20309,"Oak, Pin",Quercus palustris,1,0-3in,2.0,Spring 2023,Boston,South Boston,695,East 8th Street,,1,-71.03356,42.33146,21737
31584,-7912351.85,5212436.714,29193,"Maple, Norway",Acer platanoides,1,12-18in,12.0,--,Boston,South End,158,West Newton Street,,2,-71.07786999999999,42.34259,28115
37675,-7911160.062999999,5213419.186000001,7519,Honeylocust,Gleditsia triacanthos,1,12-18in,17.0,--,--,Central Boston,15,Fayette Street,,1,-71.06716,42.349109999999996,7447
26003,-7910956.348999999,5207485.092,19086,"Zelkova, Japanese",Zelkova serrata,1,6-12in,8.0,--,Boston,Dorchester,27,Hendry Street,,1,-71.06533,42.3097,19994
5266,-7922007.48,5204394.613,40072,"Crabapple, Royal Raindrops",Malus 'JFS-KW5',1,0-3in,2.0,Spring 2021,Boston,West Roxbury,29,Addington Road,,1,-71.1646,42.28917,38384
37540,-7909375.055,5211913.364,26881,"Ash, Green",Fraxinus pennsylvanica,1,12-18in,17.0,--,Boston,South Boston,280,West Broadway,,4,-71.05112,42.33912,26927
31409,-7911952.658,5212973.348,2640,"Linden, Silver",Tilia tomentosa,1,12-18in,12.0,--,--,South End,308,Columbus Avenue,,3,-71.07428,42.34615,3289
3633,-7907843.856000001,5211468.35,18848,"Linden, Littleleaf",Tilia cordata,1,0-3in,1.0,--,Boston,South Boston,210,K Street,,1,-71.03737,42.33616,19571
35704,-7912155.26,5212201.768,33103,"Linden, Littleleaf",Tilia cordata,1,12-18in,15.0,--,Boston,South End,105,West Newton Street,,3,-71.0761,42.341029999999996,33490
12654,-7913132.645,5211192.768,31578,"Elm, Accolade",Ulmus carpinifolia 'accolade',1,3-6in,3.0,--,Boston,Roxbury,20,Sojourner Truth Court,,2,-71.08488,42.33433,32235
32271,-7917615.481000001,5204129.77,33963,"Ash, Green",Fraxinus pennsylvanica,1,12-18in,13.0,--,Boston,Roslindale,27,Bexley Road,,2,-71.12515,42.287409999999994,34839
37135,-7920444.109,5202224.927,12912,"Maple, Norway 'Crimson King'",Acer platanoides 'Crimson King',1,12-18in,16.0,--,Boston,West Roxbury,29,Shaw Street,,2,-71.15056,42.27475,13355
173,-7908139.966,5211579.037,10781,Empty Pit/Planting Site,Empty Pit/Planting Site,0,,0.0,--,Boston,South Boston,37,I Street,,1,-71.04003,42.336890000000004,12292
11847,-7914670.4120000005,5208982.404,41850,"Zelkova, Japanese",Zelkova serrata,1,0-3in,2.0,Fall 2023,Boston,Jamaica Plain,1785,Columbus Avenue,,5,-71.09869,42.31965,41938
1000,-7921867.329,5204618.381,40098,Empty Pit/Planting Site,Empty Pit/Planting Site,0,,0.0,--,Boston,West Roxbury,41,Lyall Street,,1,-71.16335,42.290659999999995,38362
26575,-7911565.266,5211339.443,27613,Honeylocust,Gleditsia triacanthos,1,6-12in,9.0,--,Boston,South End,710,Albany Street,,1,-71.0708,42.3353,28629
34250,-7910879.538,5217006.531,9046,"Linden, Littleleaf",Tilia cordata,1,12-18in,14.0,--,--,Charlestown,32,Washington Street,,1,-71.06464,42.37292,8818
17998,-7910920.726,5212511.416,37648,"Maple, Red",Acer rubrum,1,3-6in,4.0,--,Boston,South End,415,Harrison Street,,1,-71.06501,42.343090000000004,39552
38394,-7911479.55,5202987.721,30500,"Pear, Callery",Pyrus calleryana,1,12-18in,17.0,--,Boston,Dorchester,924,Washington Street,,1,-71.07003,42.27982,31281
42084,-7908025.306,5210571.459,25513,"Linden, Littleleaf",Tilia cordata,1,18-24in,23.0,--,Boston,South Boston,1546,Columbia Road,,2,-71.039,42.3302,25410
16250,-7913429.868,5211047.15,24679,"Elm, American",Ulmus americana,1,3-6in,4.0,--,Boston,Roxbury,100,Cabot Street,,2,-71.08755,42.33336,22589
